entity_id,state,last_changed
sensor.combined_mesh_solar_energy,23805.16,2026-06-29T04:36:53.242Z
sensor.combined_mesh_solar_energy,23805.17,2026-06-29T04:38:33.229Z
sensor.combined_mesh_solar_energy,23805.18,2026-06-29T04:40:17.501Z
sensor.combined_mesh_solar_energy,23805.19,2026-06-29T04:42:54.265Z
sensor.combined_mesh_solar_energy,23805.2,2026-06-29T04:44:58.285Z
sensor.combined_mesh_solar_energy,23805.22,2026-06-29T04:46:58.276Z
sensor.combined_mesh_solar_energy,23805.23,2026-06-29T04:48:14.588Z
sensor.combined_mesh_solar_energy,23805.24,2026-06-29T04:50:45.232Z
sensor.combined_mesh_solar_energy,23805.25,2026-06-29T04:52:15.226Z
sensor.combined_mesh_solar_energy,23805.26,2026-06-29T04:54:14.563Z
sensor.combined_mesh_solar_energy,23805.28,2026-06-29T04:56:42.263Z
sensor.combined_mesh_solar_energy,23805.29,2026-06-29T04:58:51.840Z
sensor.combined_mesh_solar_energy,23805.31,2026-06-29T05:00:32.264Z
sensor.combined_mesh_solar_energy,23805.32,2026-06-29T05:02:57.486Z
sensor.combined_mesh_solar_energy,23805.33,2026-06-29T05:04:13.370Z
sensor.combined_mesh_solar_energy,23805.35,2026-06-29T05:06:42.056Z
sensor.combined_mesh_solar_energy,23805.36,2026-06-29T05:08:22.649Z
sensor.combined_mesh_solar_energy,23805.37,2026-06-29T05:10:11.578Z
sensor.combined_mesh_solar_energy,23805.38,2026-06-29T05:12:21.572Z
sensor.combined_mesh_solar_energy,23805.39,2026-06-29T05:14:17.623Z
sensor.combined_mesh_solar_energy,23805.4,2026-06-29T05:16:37.315Z
sensor.combined_mesh_solar_energy,23805.42,2026-06-29T05:18:24.007Z
sensor.combined_mesh_solar_energy,23805.44,2026-06-29T05:22:14.237Z
sensor.combined_mesh_solar_energy,23805.45,2026-06-29T05:24:44.289Z
sensor.combined_mesh_solar_energy,23805.46,2026-06-29T05:26:37.309Z
sensor.combined_mesh_solar_energy,23805.47,2026-06-29T05:28:53.265Z
sensor.combined_mesh_solar_energy,23805.49,2026-06-29T05:30:25.285Z
